date,product_id,product_name,category,price,cost_price,units_sold,revenue,discount_percent,stock_available,competitor_price,rating,review_count,is_promoted,day_of_week,month,is_weekend,is_holiday,season,days_since_launch
2021-01-12,P019,Electronics_Product_19,Electronics,4646.65,2989.92,15,69699.8,2.6,228,4812.34,3.1,0,0,Tuesday,1,0,0,Winter,3
2021-01-16,P019,Electronics_Product_19,Electronics,4397.77,2989.92,103,452970.41,9.37,197,4922.86,3.94,0,0,Saturday,1,1,0,Winter,7
2021-01-23,P019,Electronics_Product_19,Electronics,4447.42,2989.92,27,120080.36,7.61,123,5194.05,3.34,2,0,Saturday,1,1,0,Winter,14
2021-01-29,P019,Electronics_Product_19,Electronics,4916.43,2989.92,76,373648.99,1.88,129,5465.45,3.5,5,0,Friday,1,0,0,Winter,20
2021-02-02,P019,Electronics_Product_19,Electronics,3692.04,2989.92,33,121837.18,28.2,223,5586.68,3.35,4,1,Tuesday,2,0,0,Winter,24
2021-02-06,P024,Electronics_Product_24,Electronics,11423.58,7053.16,179,2044821.12,2.51,427,12748.46,3.72,0,0,Saturday,2,1,0,Winter,2
2021-02-11,P019,Electronics_Product_19,Electronics,5010.68,2989.92,16,80170.86,3.17,239,5243.83,3.45,3,0,Thursday,2,0,0,Winter,33
2021-02-11,P019,Electronics_Product_19,Electronics,4741.38,2989.92,69,327155.25,8.09,171,5577.36,3.85,4,0,Thursday,2,0,0,Winter,33
2021-02-14,P018,Electronics_Product_18,Electronics,4053.99,3822.73,83,336481.39,38.02,397,6891.04,3.15,0,1,Sunday,2,1,0,Winter,4
2021-02-14,P024,Electronics_Product_24,Electronics,11463.95,7053.16,38,435630.18,4.08,310,11430.38,3.16,1,0,Sunday,2,1,0,Winter,10
2021-02-15,P019,Electronics_Product_19,Electronics,3680.4,2989.92,109,401163.21,23.01,235,5479.91,3.75,4,1,Monday,2,0,0,Winter,37
2021-02-15,P024,Electronics_Product_24,Electronics,10888.24,7053.16,36,391976.52,6.66,419,11315.05,3.36,3,0,Monday,2,0,0,Winter,11
2021-02-20,P032,Fashion_Product_32,Fashion,2675.95,1630.33,82,219427.91,4.32,370,3014.25,3.24,0,0,Saturday,2,1,0,Winter,7
2021-02-20,P019,Electronics_Product_19,Electronics,4732.54,2989.92,75,354940.73,2.22,244,5141.86,3.92,7,0,Saturday,2,1,0,Winter,42
2021-02-21,P018,Electronics_Product_18,Electronics,5901.51,3822.73,151,891127.99,4.12,382,6063.82,3.67,1,0,Sunday,2,1,0,Winter,11
2021-02-21,P038,Fashion_Product_38,Fashion,2166.41,1407.99,44,95321.86,5.39,332,2401.2,3.43,0,0,Sunday,2,1,0,Winter,0
2021-02-23,P019,Electronics_Product_19,Electronics,4193.21,2989.92,91,381581.79,14.62,208,5222.14,3.71,5,1,Tuesday,2,0,0,Winter,45
2021-02-23,P032,Fashion_Product_32,Fashion,2592.72,1630.33,220,570399.26,6.69,612,3102.93,3.57,1,0,Tuesday,2,0,0,Winter,10
2021-02-26,P032,Fashion_Product_32,Fashion,2597.35,1630.33,47,122075.35,6.13,523,2617.37,3.48,3,0,Friday,2,0,0,Winter,13
2021-02-27,P019,Electronics_Product_19,Electronics,4448.11,2989.92,93,413674.17,9.9,143,4744.97,3.56,4,0,Saturday,2,1,0,Winter,49
2021-02-28,P018,Electronics_Product_18,Electronics,6303.93,3822.73,139,876245.89,5.03,403,6585.9,3.81,1,0,Sunday,2,1,0,Winter,18
2021-02-28,P038,Fashion_Product_38,Fashion,2147.58,1407.99,67,143887.95,11.47,420,2459.12,3.48,2,1,Sunday,2,1,0,Winter,7
2021-03-02,P024,Electronics_Product_24,Electronics,10138.82,7053.16,78,790828.03,10.26,367,12973.89,3.47,3,1,Tuesday,3,0,0,Spring,26
2021-03-03,P024,Electronics_Product_24,Electronics,11679.87,7053.16,444,5185862.51,4.28,444,13426.65,4.07,3,0,Wednesday,3,0,0,Spring,27
2021-03-04,P038,Fashion_Product_38,Fashion,2300.57,1407.99,171,393397.96,3.74,425,2367.44,3.56,1,0,Thursday,3,0,0,Spring,11
2021-03-05,P024,Electronics_Product_24,Electronics,11261.1,7053.16,62,698188.06,0.66,286,12888.77,3.31,4,0,Friday,3,0,0,Spring,29
2021-03-05,P032,Fashion_Product_32,Fashion,2559.95,1630.33,84,215036.1,0.87,402,3069.59,3.06,2,0,Friday,3,0,0,Spring,20
2021-03-06,P019,Electronics_Product_19,Electronics,4944.33,2989.92,35,173051.42,1.83,238,4815.99,3.12,6,0,Saturday,3,1,0,Spring,56
2021-03-07,P018,Electronics_Product_18,Electronics,5747.46,3822.73,74,425311.9,7.4,255,6184.59,3.43,3,0,Sunday,3,1,0,Spring,25
2021-03-07,P019,Electronics_Product_19,Electronics,4758.13,2989.92,33,157018.36,4.82,183,5035.77,3.35,6,0,Sunday,3,1,0,Spring,57
2021-03-08,P038,Fashion_Product_38,Fashion,2077.45,1407.99,52,108027.44,8.46,435,2281.61,3.23,1,0,Monday,3,0,0,Spring,15
2021-03-10,P032,Fashion_Product_32,Fashion,2399.19,1630.33,277,664575.57,9.6,546,2810.34,3.74,4,0,Wednesday,3,0,0,Spring,25
2021-03-11,P024,Electronics_Product_24,Electronics,10132.35,7053.16,207,2097397.33,9.31,337,11715.11,3.58,3,0,Thursday,3,0,0,Spring,35
2021-03-11,P018,Electronics_Product_18,Electronics,3731.75,3822.73,93,347053.17,39.32,319,6717.32,3.28,3,1,Thursday,3,0,0,Spring,29
2021-03-12,P018,Electronics_Product_18,Electronics,6277.0,3822.73,138,866226.4,5.45,303,6190.11,3.5,5,0,Friday,3,0,0,Spring,30
2021-03-14,P038,Fashion_Product_38,Fashion,1780.1,1407.99,275,489528.85,20.62,275,2643.97,3.64,3,1,Sunday,3,1,0,Spring,21
2021-03-15,P023,Fashion_Product_23,Fashion,1484.95,916.79,144,213832.23,2.45,268,1628.53,3.95,2,0,Monday,3,0,0,Spring,12
2021-03-15,P024,Electronics_Product_24,Electronics,11159.87,7053.16,47,524513.78,0.64,448,11607.98,3.14,5,0,Monday,3,0,0,Spring,39
2021-03-16,P018,Electronics_Product_18,Electronics,5659.99,3822.73,212,1199917.58,6.61,276,6692.15,3.75,4,0,Tuesday,3,0,0,Spring,34
2021-03-16,P024,Electronics_Product_24,Electronics,11368.9,7053.16,202,2296518.22,1.42,434,13250.09,3.57,5,0,Tuesday,3,0,0,Spring,40
2021-03-17,P038,Fashion_Product_38,Fashion,2303.42,1407.99,158,363940.97,0.45,320,2349.18,3.5,2,0,Wednesday,3,0,0,Spring,24
2021-03-18,P023,Fashion_Product_23,Fashion,1492.74,916.79,137,204505.53,2.08,186,1626.61,3.55,2,0,Thursday,3,0,0,Spring,15
